row_number,level,reason,raw
236,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TINTA INKMATE MAGENTA CLARO LITRO 1 LITRO EPSON Pza.', 'codebarre': 'TINTAINKEMC'}"
237,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TINTA INKMATE CIAN CLARO LITRO 1 LITRO EPSON Pza.', 'codebarre': 'TINTAINKECC'}"
251,warning,cantidad negativa -3; se cargo como 0,"{'Articulo': 'FOCO POLLERA 150W Pza.', 'codebarre': 'FOCOPO'}"
261,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Tapas Dvd MAZA 7MM 2 DISCOS DVD Pza.', 'codebarre': 'TAPADVD7'}"
264,warning,cantidad negativa -5; se cargo como 0,"{'Articulo': 'PILAS PANASONIC AA Pza.', 'codebarre': 'PILAPAN'}"
265,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'tapas blu 7MM', 'codebarre': 'TAPABLU7MM'}"
274,warning,cantidad negativa -123; se cargo como 0,"{'Articulo': 'DVD 8X SONY 4,7GB Pza.', 'codebarre': 'SONY'}"
279,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'PAPEL 21X15 SATURA MATE Pza.', 'codebarre': '21X15'}"
295,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Telefono Panasonic pantalla TS580 Pza.', 'codebarre': 'KX-TS580LXW'}"
303,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'CARGADOR NIKON EN EL10 Pza.', 'codebarre': 'CARG10'}"
305,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'HUB USB PORT 3.0 Pza.', 'codebarre': '6910378616540'}"
307,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'BATERIA SONY W Pza.', 'codebarre': '4901780848096'}"
307,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'BATERIA SONY W Pza.', 'codebarre': '4901780848096'}"
313,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'LED-336 20W Pza.', 'codebarre': '4607117465881'}"
314,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'ESTUCHE FILMADORA TELA MEDIANA LAPAZ Pza.', 'codebarre': 'ESTUCHEFILNIKON'}"
317,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'BATERIA CAMARA SONY X Pza.', 'codebarre': '4905524614404'}"
329,warning,cantidad negativa -3; se cargo como 0,"{'Articulo': 'Adaptador HDMI-HDMI Pza.', 'codebarre': 'UNIONHDMI'}"
338,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Tapas Dvd COLOR CLEAR 14MM 2 JMAX Pza.', 'codebarre': 'TAPACOLORC14'}"
359,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'PAPEL FOTOGRAFICO SATURA SATIN 13X18 PZAS', 'codebarre': 'PAPEL13X18'}"
381,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'TAPA PARA LENTE NIKON VIVITAR Pza.', 'codebarre': 'tapa'}"
389,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'CARGADOR CANON E10 Pza.', 'codebarre': 'E10'}"
394,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Mini Cd maza 210 MB Pza.', 'codebarre': 'MINI'}"
407,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'CARGADOR CAMARA NIKON EL12 Pza.', 'codebarre': 'EL12'}"
424,warning,cantidad negativa -2; se cargo como 0,"{'Articulo': 'Cargador SONY G Pza.', 'codebarre': 'G'}"
424,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Cargador SONY G Pza.', 'codebarre': 'G'}"
428,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'VITRINA ALUMINIO ECHADA CAIDA DOBLE 0.80X1.20 Pza.', 'codebarre': 'DE'}"
432,warning,cantidad negativa -2; se cargo como 0,"{'Articulo': 'Cable ewtto 1mt USB A C Pza.', 'codebarre': '6925871642224'}"
442,warning,cantidad negativa -2; se cargo como 0,"{'Articulo': 'RELOJ ANALOGICO CASIO IQ-01S REDONDO Pza.', 'codebarre': '4549526126987'}"
455,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': '504 BLACK', 'codebarre': '010343938748'}"
456,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': '504 CYAN', 'codebarre': '010343938755'}"
458,warning,cantidad negativa -2; se cargo como 0,"{'Articulo': '504 AMARILLO', 'codebarre': '010343938779'}"
461,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'AUDIFONO CHUPON PHILIPS CHUPON Pza.', 'codebarre': '6923410713701'}"
463,warning,cantidad negativa -6; se cargo como 0,"{'Articulo': 'Tinta JHOROMI 1/2 AMARILLO Pza.', 'codebarre': '0.5Y'}"
465,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'FILTRO CAMARA CANON 58MM Pza.', 'codebarre': '4960999431260'}"
467,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'TAPA CAMARA NIKON 77MM Pza.', 'codebarre': 'FEF'}"
479,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'MOCHILA CAMARA TELA Pza.', 'codebarre': 'mochi'}"
481,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'BATERIA CAMARA NIKON EN EL3E Pza.', 'codebarre': '018208253098'}"
492,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Hub USB KLIP 2.0 KUH-190B Pza.', 'codebarre': '798303071086'}"
507,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Telefono Panasonic simple TS500 Pza.', 'codebarre': 'KX-TS500LXB'}"
513,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'ADAPTADOR VGA-HDMI GENERICO D Pza.', 'codebarre': 'D'}"
516,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'CD - R SONY 700 MB Pza.', 'codebarre': '027242852310'}"
521,warning,cantidad negativa -225; se cargo como 0,"{'Articulo': 'CD SMART 700 MB Pza.', 'codebarre': 'LKK'}"
546,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'ROUTER WIFI XIAOMI MI ROUTER 4C Pza.', 'codebarre': '6970244525529'}"
560,warning,cantidad negativa -4; se cargo como 0,"{'Articulo': 'TINTA IMPRESORA KATAS CANON 1/2 LITRO Pza.', 'codebarre': 'HJD'}"
573,warning,cantidad negativa -10; se cargo como 0,"{'Articulo': 'FOCO 1,2M LED 1 LED Pza.', 'codebarre': 'FOCO120'}"
573,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'FOCO 1,2M LED 1 LED Pza.', 'codebarre': 'FOCO120'}"
575,warning,cantidad negativa -10; se cargo como 0,"{'Articulo': 'TINTA JHOROMI 1/2 LITRO NEGRO Pza.', 'codebarre': '0.5BK'}"
576,warning,cantidad negativa -2; se cargo como 0,"{'Articulo': 'TINTA JHOROMI 1/2 LITRO CIAN Pza.', 'codebarre': '0.5C'}"
